archivo_imagen,producto_excel,estado,nota
"listas/AGILITY - GATO URINARY - 10 KG.jpeg","AGILITY GATO URINARY 10KG","Confirmado","La copia adicional agility para gatos.jpeg era un duplicado exacto y no se guardó."
"listas/AGILITY - PERRO ADULTO TALLA PEQUENA - 15 KG.jpeg","AGILITY PERRO ADULTO MORDIDA PEQUEÑA 15KG","Confirmado","El envase dice Adultos Talla Pequeña."
"listas/AGILITY - PERRO ADULTO TALLA MEDIANA Y GRANDE - 20 KG.jpeg","AGILITY PERRO ADULTO 20KG","Confirmado","El envase dice Adultos Talla Mediana y Grande."
"listas/VITAL CAN BALANCED - PERRO ADULTO CORDERO SKIN CARE - 3 Y 15 KG.jpeg","VITAL CAN BALANCED CORDERO 3 KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/VITAL CAN BALANCED - PERRO ADULTO CORDERO SKIN CARE - 3 Y 15 KG.jpeg","VITAL CAN BALANCED CORDERO 15 KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/SIEGER - PERRO SENIOR MEDIUM LARGE - 3 KG.jpeg","SIEGER PERRO SENIOR MORDIDA MEDIANA 3KG","Confirmado","El envase dice Senior Medium & Large."
"listas/SIEGER - PERRO ADULTO MINI SMALL - 3 Y 12 KG.jpeg","SIEGER ADULTO MORDIDA PEQUEÑA 3KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/SIEGER - PERRO ADULTO MINI SMALL - 3 Y 12 KG.jpeg","SIEGER ADULTO MORDIDA PEQUEÑA 12KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/SIEGER - CACHORRO MEDIUM LARGE - 3 Y 15 KG.jpeg","SIEGER PUPPY MORDIDA MEDIANA 3KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/SIEGER - CACHORRO MEDIUM LARGE - 3 Y 15 KG.jpeg","SIEGER PUPPY MORDIDA MEDIANA 15KG","Confirmado","La misma imagen representa ambas presentaciones."
"listas/SIEGER - CACHORRO MINI SMALL - 3 KG.jpeg","SIEGER PUPPY MORDIDA PEQUEÑA 3KG","Confirmado","El envase dice Puppy Mini & Small."
"listas/DR DIPI - GATO ADULTO - 10 KG.jpeg","DR DIPI GATO ADULTO 10 KG","Confirmado","Peso visible en el envase."
"listas/DR DIPI - PERRO ADULTO - 20 KG.jpeg","DR DIPI PERRO ADULTO 20 KG","Confirmado","Peso visible en el envase."
"listas/LEVEL PREMIUM - PERRO ADULTO TODAS LAS RAZAS - 20 KG.jpeg","LEVEL PERRO ADULTO 20 KG","Confirmado","El envase dice All Breeds y Pollo y Arroz."
"listas/LEVEL PREMIUM - PERRO ADULTO RAZA PEQUENA - 10 KG.jpeg","LEVEL PERRO ADULTO MORDIDA PEQUEÑA 10 KG","Confirmado","El envase dice Small Breed y Pollo y Arroz."
"listas/LEVEL PREMIUM - GATO ADULTO TODAS LAS RAZAS - 10 KG.jpeg","LEVEL GATO 10 KG","Confirmado","El envase dice Adulto +1 All Breeds."
